assembly,village,candidate,party,votes,rank_in_ac,is_top4
Adampur,Jagan,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Jagan,Baljeet Singh,,0,11,0
Adampur,Jagan,Amit,,0,12,0
Adampur,Jakhod Kheda,Chander Parkash S/O Arjun Lal,INC,1432,1,1
Adampur,Jakhod Kheda,Bhavya Bishnoi,BJP,814,2,1
Adampur,Jakhod Kheda,Randeep Choudaryvas,INLD,52,3,1
Adampur,Jakhod Kheda,Bhupender Beniwal,,15,4,1
Adampur,Jakhod Kheda,Krishan Gangwa Parjapati,JJP,30,5,0
Adampur,Jakhod Kheda,Rajesh Kumar,,2,6,0
Adampur,Jakhod Kheda,Ramphal,,2,7,0
Adampur,Jakhod Kheda,Renu Chahal Balsamand,,2,8,0
Adampur,Jakhod Kheda,Parmod Baswana,,0,9,0
Adampur,Jakhod Kheda,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Jakhod Kheda,Baljeet Singh,,2,11,0
Adampur,Jakhod Kheda,Amit,,0,12,0
Adampur,Julli Bagarian,Chander Parkash S/O Arjun Lal,INC,404,1,1
Adampur,Julli Bagarian,Bhavya Bishnoi,BJP,225,2,1
Adampur,Julli Bagarian,Randeep Choudaryvas,INLD,9,3,1
Adampur,Julli Bagarian,Bhupender Beniwal,,3,4,1
Adampur,Julli Bagarian,Krishan Gangwa Parjapati,JJP,12,5,0
Adampur,Julli Bagarian,Rajesh Kumar,,1,6,0
Adampur,Julli Bagarian,Ramphal,,0,7,0
Adampur,Julli Bagarian,Renu Chahal Balsamand,,0,8,0
Adampur,Julli Bagarian,Parmod Baswana,,0,9,0
Adampur,Julli Bagarian,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Julli Bagarian,Baljeet Singh,,0,11,0
Adampur,Julli Bagarian,Amit,,0,12,0
Adampur,Kaberel,Chander Parkash S/O Arjun Lal,INC,1290,1,1
Adampur,Kaberel,Bhavya Bishnoi,BJP,1297,2,1
Adampur,Kaberel,Randeep Choudaryvas,INLD,41,3,1
Adampur,Kaberel,Bhupender Beniwal,,11,4,1
Adampur,Kaberel,Krishan Gangwa Parjapati,JJP,14,5,0
Adampur,Kaberel,Rajesh Kumar,,8,6,0
Adampur,Kaberel,Ramphal,,7,7,0
Adampur,Kaberel,Renu Chahal Balsamand,,1,8,0
Adampur,Kaberel,Parmod Baswana,,1,9,0
Adampur,Kaberel,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Kaberel,Baljeet Singh,,0,11,0
Adampur,Kaberel,Amit,,1,12,0
Adampur,Kajla,Chander Parkash S/O Arjun Lal,INC,1064,1,1
Adampur,Kajla,Bhavya Bishnoi,BJP,922,2,1
Adampur,Kajla,Randeep Choudaryvas,INLD,97,3,1
Adampur,Kajla,Bhupender Beniwal,,16,4,1
Adampur,Kajla,Krishan Gangwa Parjapati,JJP,4,5,0
Adampur,Kajla,Rajesh Kumar,,1,6,0
Adampur,Kajla,Ramphal,,2,7,0
Adampur,Kajla,Renu Chahal Balsamand,,6,8,0
Adampur,Kajla,Parmod Baswana,,0,9,0
Adampur,Kajla,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Kajla,Baljeet Singh,,0,11,0
Adampur,Kajla,Amit,,0,12,0
Adampur,Kalirawan,Chander Parkash S/O Arjun Lal,INC,2896,1,1
Adampur,Kalirawan,Bhavya Bishnoi,BJP,1886,2,1
Adampur,Kalirawan,Randeep Choudaryvas,INLD,68,3,1
Adampur,Kalirawan,Bhupender Beniwal,,30,4,1
Adampur,Kalirawan,Krishan Gangwa Parjapati,JJP,22,5,0
Adampur,Kalirawan,Rajesh Kumar,,12,6,0
Adampur,Kalirawan,Ramphal,,8,7,0
Adampur,Kalirawan,Renu Chahal Balsamand,,11,8,0
Adampur,Kalirawan,Parmod Baswana,,3,9,0
Adampur,Kalirawan,Chander Parkash S/O Raja Ram,,2,10,0
